Country,Official Name,Local Name,Year of Release,Pedigree,Variety Source,Seed Size,Seed Color,Seed Shape
ANGOLA,A 286,***,1999,G4017 x G4830,CIAT line,Small,Yellow,***
ANGOLA,A197,***,1999,G76 x G21721,CIAT line,Large,Yellow,***
ANGOLA,A344,***,1999,G3807 xG2618,CIAT line,Small,Cream/Biege,***
BURUNDI,AND10,BISHAZA,1998,G5702 x G12488,CIAT line,Large,White,Truncate fastigiate
BURUNDI,MOORE 88002,AKARYOSHE,1999,***,Local landrace,Medium,Cream/Biege,Kidney
BURUNDI,CODMLB003,MUTWENZI,2015,***,CIAT line,Large,***,Kidney
BURUNDI,G13607,TWUNGURUMURYANGO,2006,COLORES,CIAT line,Large,Red,Oval
BURUNDI,GASILDA,GASILIDA,2010,***,CIAT line,Large,Purple,Kidney
BURUNDI,GLP2,MIRUNDI,2010,GLP2=K20,CIAT line,Large,Red,Kidney
BURUNDI,IZO201245 ,INAMUNIHIRE,2003,***,Other CGIAR,Large,Purple,Kidney
BURUNDI,IZO201299,MUBOGORA,2003,***,Other CGIAR,Large,Purple,Kidney
BURUNDI,IZO201513,IBIJONE,2003,***,Other CGIAR,Large,Yellow,Kidney
BURUNDI,IZO201543,MAKUTSA3,2015,***,CIAT line,Medium,White,Round
BURUNDI,KATB1,MBUNDUGURU,2008,***,CIAT line,Large,Yellow,Round
BURUNDI,KATB9,INAKAYOBA,2008,***,CIAT line,Large,Red,Round
BURUNDI,KATX56,***,2008,***,CIAT line,Large,Purple,Kidney
BURUNDI,KATX69,***,2008,***,CIAT line,Large,Red,Kidney
BURUNDI,KIANGARA,KIANGARA,2009,***,***,Medium,Yellow,Kidney
BURUNDI,LM9220492,BISERA,2008,***,CIAT line,Large,Red,Kidney
BURUNDI,MAC44,MAGORORI,2015,AND 930 x G 12722,CIAT line,***,***,***
BURUNDI,MAC70,***,2015,BRB32 X SEL1449,CIAT line,Large,Red,Kidney
BURUNDI,MLB122-94B,MUSENGO,2008,***,Other CGIAR,Medium,White,Kidney
BURUNDI,MLV206/96B,BIHOGO,2008,***,CIAT line,Large,Yellow,Round
BURUNDI,MSO'LE,MUSORE,2011,***,Other CGIAR,Medium,Brown/Maroon,Kidney
BURUNDI,MUHORO,MUHORO,2015,***,Local landrace,Large,Cream/Biege,Kidney
BURUNDI,MUKUNGUNGU,MUKUNGUNGU,2008,***,Other CGIAR,Medium,Brown/Maroon,Kidney
BURUNDI,RWR2091,KIRYUGARAMYE,2011,***,Other CGIAR,Large,Red,Kidney
BURUNDI,RWV1129,MURENGETI,2015,***,CIAT line,Large,Purple,Oval
BURUNDI,RWV1272,KINURE,2015,***,CIAT line,Small,Pink,Round
BURUNDI,VCB81012,AMAHUNJA,2009,GUANAJUATO22/CUARENTINOH6=ZRE-6,CIAT line,Medium,Yellow,Round
BURUNDI,VCB81013,NYAWERA,2009,GUANAJUATO22/CUARENTINOH6=ZRE-6,CIAT line,Medium,White,Round
BURUNDI,BCB-11-315,MASO,2017,***,CIAT line,Large,Cream/Biege,Kidney
BURUNDI,BCB-11-404,MABONDO,2017,***,CIAT line,Medium,Yellow,Round
BURUNDI,RWR1092,GAHAMA,2017,***,NARS,,,
BURUNDI,ECDHR,,2018,***,CIAT line,Small,Cream/Biege,
BURUNDI,GISETSABAGORE,GISETSABAGORE,2018,***,Local landrace,Large,,Kidney
BURUNDI,JAUNE VOLUBILE,,2018,***,Local landrace,,,
BURUNDI,KENYA SUGAR ,,2018,***,,Medium,Brown/Maroon,Kidney
BURUNDI,KINURE,,2018,***,Local landrace,Medium,,Kidney
BURUNDI,NOKIA,,2018,***,Local landrace,Small,,Round
BURUNDI,NUV130,,2018,***,CIAT line,Small,Red,Oval
BURUNDI,NUV30,,2018,***,CIAT line,Small,Cream/Biege,Oval
BURUNDI,NUV91,,2018,***,CIAT line,Small,Red,Kidney
BURUNDI,RUSENYANZEGO,RUSENYANZEGO,2018,***,Local landrace,,,
CAMEROON,B.G.G,***,2014,***,CIAT line,Large,White,***
CAMEROON,DOR-701,***,2014,RAB495 x (DOR481 x MUS131),CIAT line,Small,Red,***
CAMEROON,ECA PAN 021,***,2012,***,CIAT line,Medium,Red,Oval
CAMEROON,KJ4-3,***,2012,***,CIAT line,Large,Yellow,***
CAMEROON,MAC 33,***,2012,SUG  92 x G 12722,CIAT line,Medium,Red,Kidney
CAMEROON,MAC 55,***,2012,SUG  92 x G 12722,CIAT line,Large,Cream/Biege,Kidney
CAMEROON,MEX 142,***,2012,***,CIAT line,Small,White,Oval
CAMEROON,NITU- G16157,***,2012,***,CIAT line,Large,Cream/Biege,Kidney
CAMEROON,NUA-99,***,2014,***,CIAT line,Medium,Red,***
CAMEROON,NUV-109-2,***,2014,***,CIAT line,Small,Red,***
CAMEROON,P.N.N,***,2014,***,Local Cross,Small,Black,***
CAMEROON,TY 3396-12,***,2012,***,CIAT line,Small,Cream/Biege,Oval
D.R. CONGO,BF10,LIB1,2002,***,Local Cross,Medium,Yellow,***
D.R. CONGO,LOLA NAIN,***,2000,***,Local Cross,Medium,Yellow,***
D.R. CONGO,LOLA VOLUBILE,***,2000,***,No data,***,***,***
D.R. CONGO,LYAMUNGU 90,MUSALE,2001,***,Local Cross,Medium,Yellow,***
D.R. CONGO,MANSEKI,***,2000,***,Local Cross,Medium,Yellow,***
D.R. CONGO,MBIDI,MBIDI,2000,***,No data,***,***,***
D.R. CONGO,MPOLO,ITURI-MATATA,1999,***,Local Cross,Medium,Yellow,***
D.R. CONGO,NGWAKU NGWAKU,***,2000,***,***,***,***,***
D.R. CONGO,BSM5-2,MORE,2000,,CIAT line,Medium,Yellow,
D.R. CONGO,CIM 9321-2,***,2002,,CIAT line,Large,Red,Kidney
D.R. CONGO,CODMLV 056,LYAMUNGU,2000,,CIAT line,Medium,Red,
D.R. CONGO,DB 196,***,2002,EMP250/MCM5010/EMP250,CIAT line,Small,Black,Oval
D.R. CONGO,DOR 715,***,2002,SEL986 x (DOR 476 x SEL1235),CIAT line,Small,Red,Oval
D.R. CONGO,MANSEKI,***,2000,,,,,
D.R. CONGO,MUSALE,MUSALE OR ITANGAZA,2001,,No data,,,
D.R. CONGO,M'SOLE,UBUSOSERA,2002,,,,,
D.R. CONGO,NAMULENGA,NAMULENGA,2001,,CIAT line,Medium,White,Cuboid
D.R. CONGO,NGWAKUNGWAKU,NGWAKUGWAKU,1999,,Local Cross,Large,Yellow,Cuboid
D.R. CONGO,OPS-RS4,PVO,2002,,CIAT line,Medium,Yellow,Kidney
D.R. CONGO,XAN 76,,2002,,CIAT line,Small,Cream/Biege,Oval
D.R. CONGO,ACC714,***,2006,***,Local Cross,Small,Black,Round
D.R. CONGO,ARA4,***,2008,AB136/BAT304//A321/BAT477,CIAT line,***,***,***
D.R. CONGO,CAL 143,***,2005,G12229/AND277,CIAT line,Medium,Red,Oval
D.R. CONGO,CNF5520,***,2003,***,***,***,***,***
D.R. CONGO,CODMLB 007,***,2012,***,CIAT line,Large,Cream/Biege,Kidney
D.R. CONGO,CODMLV 052,***,2009,***,Local Cross,Large,Purple,Truncate fastigiate
D.R. CONGO,DC 12496-50,MBIDI,2003,***,CIAT line,Medium,Brown/Maroon,Oval
D.R. CONGO,G 11460,***,2010,***,***,***,***,***
D.R. CONGO,G1810,***,2003,***,***,***,***,***
D.R. CONGO,GLP2,***,2010,GLP2=K20,CIAT line,Medium,Red,Cuboid
D.R. CONGO,GR 13P,***,2003,***,***,***,***,***
D.R. CONGO,HM21-7,SEPE,2010,***,CIAT line,Medium,Brown/Maroon,Truncate fastigiate
D.R. CONGO,K132,K132,2012,***,CIAT line,Large,Red,Kidney
D.R. CONGO,KABULANGETI,***,2004,***,CIAT line,Small,Purple,Round
D.R. CONGO,LSA 144,***,2003,G12666/G14016,CIAT line,***,***,***
D.R. CONGO,M50/98,***,2003,***,***,***,***,***
D.R. CONGO,MAHARAGI SOYA,MAHARAGI SOYA,2011,***,CIAT line,Small,White,Oval
